216,0.63,kN,5.40
217,0.63,kN,5.43
218,0.63,kN,5.45
219,0.63,kN,5.47
220,0.63,kN,5.50
221,0.63,kN,5.53
222,0.63,kN,5.55
223,0.63,kN,5.57
224,0.63,kN,5.60
225,0.63,kN,5.63
226,0.63,kN,5.65
227,0.63,kN,5.68
228,0.64,kN,5.70
229,0.64,kN,5.72
230,0.64,kN,5.75
231,0.64,kN,5.78
232,0.64,kN,5.80
233,0.64,kN,5.82
234,0.64,kN,5.85
235,0.63,kN,5.88
236,0.63,kN,5.90
237,0.63,kN,5.93
238,0.63,kN,5.95
239,0.63,kN,5.97
240,0.63,kN,6.00
241,0.63,kN,6.03
242,0.63,kN,6.05
243,0.63,kN,6.07
244,0.63,kN,6.10
245,0.63,kN,6.13
246,0.63,kN,6.15
247,0.63,kN,6.18
248,0.63,kN,6.20
249,0.63,kN,6.22
250,0.62,kN,6.25
251,0.62,kN,6.28
252,0.62,kN,6.30
253,0.62,kN,6.32
254,0.62,kN,6.35
255,0.62,kN,6.38
256,0.62,kN,6.40
257,0.62,kN,6.43
258,0.62,kN,6.45
259,0.61,kN,6.47
260,0.61,kN,6.50
261,0.61,kN,6.53
262,0.61,kN,6.55
263,0.61,kN,6.57
264,0.61,kN,6.60
265,0.60,kN,6.63
266,0.60,kN,6.65
267,0.60,kN,6.68
268,0.60,kN,6.70
269,0.60,kN,6.72
270,0.59,kN,6.75
271,0.59,kN,6.78
272,0.59,kN,6.80
273,0.59,kN,6.82
274,0.59,kN,6.85
275,0.59,kN,6.88
276,0.59,kN,6.90
277,0.59,kN,6.93
278,0.59,kN,6.95
279,0.59,kN,6.97
280,0.59,kN,7.00
281,0.59,kN,7.03
282,0.59,kN,7.05
283,0.60,kN,7.07
284,0.60,kN,7.10
285,0.60,kN,7.13
286,0.61,kN,7.15
287,0.61,kN,7.18
288,0.61,kN,7.20
289,0.61,kN,7.22
290,0.61,kN,7.25
291,0.61,kN,7.28
292,0.61,kN,7.30
293,0.61,kN,7.32
294,0.62,kN,7.35
295,0.62,kN,7.38
296,0.62,kN,7.40
297,0.62,kN,7.43
298,0.62,kN,7.45
299,0.61,kN,7.47
300,0.61,kN,7.50
301,0.61,kN,7.53
302,0.61,kN,7.55
303,0.61,kN,7.57
304,0.60,kN,7.60
305,0.60,kN,7.63
306,0.60,kN,7.65
307,0.60,kN,7.68
308,0.59,kN,7.70
309,0.59,kN,7.72
310,0.58,kN,7.75
311,0.58,kN,7.78
312,0.57,kN,7.80
313,0.57,kN,7.82
314,0.57,kN,7.85
315,0.56,kN,7.88
316,0.56,kN,7.90
317,0.55,kN,7.93
318,0.55,kN,7.95
319,0.55,kN,7.97
320,0.54,kN,8.00
321,0.54,kN,8.02
322,0.53,kN,8.05
323,0.53,kN,8.07
324,0.53,kN,8.10
325,0.53,kN,8.13
326,0.52,kN,8.15
327,0.52,kN,8.18
328,0.52,kN,8.20
329,0.52,kN,8.23
330,0.52,kN,8.25
331,0.51,kN,8.27
332,0.52,kN,8.30
333,0.52,kN,8.32
334,0.52,kN,8.35
335,0.52,kN,8.38
336,0.52,kN,8.40
337,0.52,kN,8.43
338,0.52,kN,8.45
339,0.52,kN,8.48
340,0.52,kN,8.50
341,0.53,kN,8.52
342,0.53,kN,8.55
343,0.53,kN,8.57
344,0.53,kN,8.60
345,0.53,kN,8.63
346,0.54,kN,8.65
347,0.54,kN,8.68
348,0.54,kN,8.70
349,0.54,kN,8.73
350,0.55,kN,8.75
351,0.55,kN,8.77
352,0.55,kN,8.80
353,0.55,kN,8.82
354,0.56,kN,8.85
355,0.56,kN,8.88
356,0.56,kN,8.90
357,0.56,kN,8.93
358,0.57,kN,8.95
359,0.57,kN,8.98
360,0.57,kN,9.00
361,0.57,kN,9.02
362,0.58,kN,9.05
363,0.58,kN,9.07
364,0.58,kN,9.10
365,0.58,kN,9.13
366,0.59,kN,9.15
367,0.60,kN,9.18
368,0.60,kN,9.20
369,0.60,kN,9.23
370,0.60,kN,9.25
371,0.60,kN,9.27
372,0.61,kN,9.30
373,0.62,kN,9.32
374,0.62,kN,9.35
375,0.62,kN,9.38
376,0.63,kN,9.40
377,0.63,kN,9.43
378,0.63,kN,9.45
379,0.63,kN,9.48
380,0.64,kN,9.50
381,0.64,kN,9.52
382,0.64,kN,9.55
383,0.65,kN,9.57
384,0.65,kN,9.60
385,0.66,kN,9.63
386,0.66,kN,9.65
387,0.66,kN,9.68
388,0.66,kN,9.70
389,0.67,kN,9.73
390,0.67,kN,9.75
391,0.67,kN,9.77
392,0.67,kN,9.80
393,0.67,kN,9.82
394,0.67,kN,9.85
395,0.67,kN,9.88
396,0.67,kN,9.90
397,0.67,kN,9.93
398,0.66,kN,9.95
399,0.66,kN,9.98
400,0.66,kN,10.00
401,0.65,kN,10.02
402,0.65,kN,10.05
403,0.65,kN,10.07
404,0.64,kN,10.10
405,0.64,kN,10.13
406,0.63,kN,10.15
407,0.62,kN,10.18
408,0.62,kN,10.20
409,0.62,kN,10.23
410,0.62,kN,10.25
411,0.61,kN,10.27
412,0.60,kN,10.30
413,0.60,kN,10.32
414,0.60,kN,10.35
415,0.60,kN,10.38
416,0.60,kN,10.40
417,0.60,kN,10.43
418,0.59,kN,10.45
419,0.59,kN,10.48
420,0.59,kN,10.50
421,0.59,kN,10.52
422,0.59,kN,10.55
423,0.60,kN,10.57
